대피장소명,세부위치명,수용인원,도로명주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
동해광희고등학교,체육관,1294,강원특별자치도 동해시 청운로 112 (동회동),37.4897142,129.1027168,2021,화학사고,033-539-8750,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
하랑중학교,체육관,473,강원특별자치도 동해시 발한로 347 (발한동),37.56035692,129.1021723,2021,화학사고,033-539-8750,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
회룡중학교,체육관,672,경기도 의정부시 안말로 45(호원동),37.714998,127.043647,2021,화학사고,031-828-4434,경기도 의정부시 생태도시사업소 환경관리과,2021-09-24
광명스피돔,경륜장,10000,경기도 광명시 광명로 721 (광명동),37.46648,126.846481,2021,화학사고,02-2680-2955,경기도 광명시 환경수도사업소 환경관리과,2021-09-30
구리여자고등학교,체육관,1063,경기도 구리시 벌말로 168(토평동),37.590833,127.152222,2021,화학사고,031-550-2862,경기도 구리시 환경관리사업소 환경과,2021-09-29
장자중학교,체육관,1115,경기도 구리시 장자호수길 45(교문동),37.586071,127.135829,2021,화학사고,031-550-2862,경기도 구리시 환경관리사업소 환경과,2021-09-29
동인초등학교,체육관,515,경기도 구리시 동구릉로103번길 37(인창동),37.610692,127.134415,2021,화학사고,031-550-2862,경기도 구리시 환경관리사업소 환경과,2021-09-29
산마루초등학교,체육관,757,경기도 구리시 갈매순환로 133(갈매동),37.631654,127.120347,2021,화학사고,031-550-2862,경기도 구리시 환경관리사업소 환경과,2021-09-29
정왕종합사회복지관,강당,298,경기도 시흥시 정왕대로233번길 27(정왕동),37.347414,126.740904,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
시흥장애인종합복지관,강당,170,경기도 시흥시 정왕대로233번길 27-1 (정왕동),37.347586,126.741332,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
정왕초등학교,본관,1818,경기도 시흥시 중심상가로 257(정왕동),37.340756,126.743025,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
서해중학교,본관,1973,경기도 시흥시 옥구천서로373번길 18(정왕동),37.356421,126.725792,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
옥터초등학교,교사동,1454,경기도 시흥시 옥터로 33(정왕동),37.344731,126.692287,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
함현상생종합사회복지관,본관,6951,경기도 시흥시 함송로29번길 67(정왕동),37.364229,126.737497,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
송운중학교,교사동,11078,경기도 시흥시 옥구천동로 433-11 (정왕동),37.35918,126.731146,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
함현고등학교,체육관,763,경기도 시흥시 역전로 463(정왕동),37.365782,126.73822,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
함현중학교,체육관,8866,경기도 시흥시 역전로 435(정왕동),37.36342,126.736774,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
배곧중학교,체육관,1118,경기도 시흥시 배곧4로 72(정왕동),37.375042,126.731239,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
배곧해솔중학교,체육관,1019,경기도 시흥시 서울대학로 150-23(정왕동),37.359944,126.716567,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
배곧누리초등학교,체육관,840,경기도 시흥시 해송십리로 472-30(정왕동),37.38271,126.732022,2021,화학사고,031-310-5994,경기도 시흥시 환경국 환경정책과,2023-08-09
안성맞춤아트홀,강당,2390,경기도 안성시 발화대길 21(현수동),37.001188,127.279385,2021,화학사고,031-678-5412,경기도 안성시 문화예술사업소,2023-08-07
서평초등학교,학교,1376,경기도 수원시 권선구 수인로9번길 52 (서둔동),37.2685829,126.996988,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
수원매화초등학교,학교,12950,경기도 수원시 영통구 권광로304번길 47-17(매탄동),37.27412789,127.0403316,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
상률초등학교,학교,10499,경기도 수원시 장안구 덕영대로417번길 98 (율전동),37.30449675,126.9694126,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
천천초등학교,학교,13133,경기도 수원시 장안구 정자로42번길 17 (천천동),37.30047341,126.9827215,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
정천초등학교,학교,938,경기도 수원시 장안구 화산로 83 (천천동),37.29114902,126.9830065,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
대선초등학교,학교,3520,경기도 수원시 영통구 봉영로 1432-19 (망포동),37.2417136,127.0646348,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
곡정초등학교,학교,16956,경기도 수원시 권선구 곡선로 7 (권선동),37.24083138,127.0258407,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
상촌초등학교,학교,10327,경기도 수원시 권선구 금곡로31번길 92 (금곡동),37.27307121,126.935356,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
송원초등학교,학교,236,경기도 수원시 장안구 수일로 185 (조원동),37.30827151,127.0102777,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
천일초등학교,학교,9524,경기도 수원시 장안구 정자로19번길 13 (천천동),37.300843,126.978286,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
수원중촌초등학교,학교,11510,경기도 수원시 권선구 금곡로140번길 30 (금곡동),37.27261764,126.9445137,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
선행초등학교,학교,8698,경기도 수원시 권선구 세권로196번길 21 (권선동),37.25437626,127.0259642,2021,화학사고,031-228-3243,경기도 수원시 환경국 환경정책과,2020-10-25
평생학습관,대강당(1층),589,경기도 의왕시 오전로 122 (오전동),37.3552625,126.975296,2021,화학사고,031-345-3823,경기도 의왕시 경제환경국 환경과,2021-10-28
합천초등학교,체육관,503,경상남도 합천군 합천읍 죽죽길 3 (합천리),35.56521434,128.1640186,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
봉산초등학교,체육관,209,경상남도 합천군 봉산면 김봉길 25-7 (김봉리),35.62617494,128.0407841,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
가야면복지회관,본관,129,경상남도 합천군 가야면 가야시장로 95 (야천리),35.76316955,128.1388188,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
초계초등학교,체육관,309,경상남도 합천군 초계면 초계중앙로 33-6 (초계리),35.560372,128.264381,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
쌍책면복지회관,본관,268,경상남도 합천군 쌍책면 성산우회로 8 (성산리),35.57493858,128.2878486,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
쌍백면복지회관,본관,375,경상남도 합천군 쌍백면 쌍백중앙로 57 (평구리),35.43979,128.146217,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
삼가초등학교,강당,282,경상남도 합천군 삼가면 소오길 12 (소오리),35.41187967,128.1191583,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
대병초등학교,체육관,325,경상남도 합천군 대병면 신성동길 66 (회양리),35.5193961,128.0107316,2021,화학사고,055-930-3294,경상남도 합천군 안전건설국 환경위생과,2020-10-25
송정초등학교,다목적실,107,경상남도 거제시 연초면 송정이목로 47 (송정리),34.91810781,128.6737172,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
연초중학교,체육관,933,경상남도 거제시 연초면 죽토양지1길 26 (죽토리),34.91276134,128.6592635,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
옥포성지중학교,강당,2540,경상남도 거제시 거제대로 3699(옥포동),34.88718389,128.6908031,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
옥포초등학교,체육관,909,경상남도 거제시 옥포로13길 12(옥포동),34.8921108,128.6902921,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
국산초등학교,강당,847,경상남도 거제시 국산1길 2(옥포동),34.89676598,128.6934313,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
옥포중학교,체육관,1198,경상남도 거제시 옥포대첩로 99(옥포동),34.89539874,128.6981299,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
진목초등학교,강당,609,경상남도 거제시 진목1길 101(옥포동),34.90141752,128.6841753,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
거제장평중학교,체육관,1014,경상남도 거제시 장평4로 40(장평동),34.88618312,128.6062546,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
거제상동초등학교,본관,4047,경상남도 거제시 상동5길 75-41 (상동동),34.86197849,128.6345254,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
삼룡초등학교,강당,4836,경상남도 거제시 거제중앙로 1548(문동동),34.86175638,128.6441731,2021,화학사고,055-639-3933,경상남도 거제시 환경사업소 기후환경과,2021-09-30
스포츠파크실내체육관,체육관,1396,경상남도 거창군 거창읍 심소정길 39-36 (양평리),35.69254,127.9279,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
거창초등학교,체육관,930,경상남도 거창군 거창읍 아림로 48 (중앙리),35.68758,127.9108,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
아림고등학교,체육관,686,경상남도 거창군 거창읍 정장길 19(김천리),35.67736,127.9135,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
주상초등학교,3층 다목적실,1889,경상남도 거창군 주상면 도평1길 60(도평리),35.74933,127.9149,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
웅양초등학교,체육관,775,경상남도 거창군 웅양면 웅양로 1403(노현리),35.80309,127.916,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
고제문화체육회관,문화체육관,1075,경상남도 거창군 고제면 고제로 48(농산리),35.813185,127.873536,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
북상초등학교,다목적강당,363,경상남도 거창군 북상면 송계로 731-18(갈계리),35.77949,127.8172,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
거창덕유중학교,체육관,1416,경상남도 거창군 위천면 화리골1길 56(남산리),35.73619,127.8481,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
위천초등학교,체육관,812,경상남도 거창군 위천면 창말1길 10(강천리),35.75231,127.8288,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
마리초등학교,체육관,294,경상남도 거창군 마리면 빼재로 23(말흘리),35.70222,127.8536,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
남상초등학교,체육관,810,경상남도 거창군 남상면 인평길 21(무촌리),35.64491,127.9101,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
남하초등학교,본관,1090,경상남도 거창군 남하면 영서로 151(무릉리),35.65865,127.9466,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
신원초등학교,본관,1442,경상남도 거창군 신원면 신차로 3053(과정리),35.56639,127.9252,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
가조초등학교,체육관,1521,경상남도 거창군 가조면 가조가야로 1087(마상리),35.71093,128.0137,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
가북초등학교,후관동 2층 다목적실,215,경상남도 거창군 가북면 가북로 628(우혜리),35.76283,127.9926,2021,화학사고,055-940-3512,경상남도 거창군 경제산업국 환경과,2021-09-30
거류초등학교,강당,1089,경상남도 고성군 거류면 거류로 693-14(당동리),34.99345272,128.4042875,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
마암초등학교,강당,888,경상남도 고성군 마암면 옥천로 254(도전리),35.0561,128.3366,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
회화중학교,강당,778,경상남도 고성군 회화면 배둔서길 42-35(배둔리),35.0565,128.3621,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
마암면 복지회관,복지회관,318,경상남도 고성군 마암면 옥천로 241(도전리),35.05485,128.33715,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
회화면사무소,대회의실,303,경상남도 고성군 회화면 배둔로 80(배둔리),35.06046437,128.3732179,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
동광초등학교,소규모체육관,449,경상남도 고성군 거류면 봉암2길 11(감서리),35.00892571,128.3995407,2021,화학사고,055-670-2405,경상남도 고성군 환경과,2021-11-30
가곡동행정복지센터,본관,217,경상남도 밀양시 가곡14길 4(가곡동),35.47876,128.764557,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
교동행정복지센터,본관,98,경상남도 밀양시 교동로 189(교동),35.510997,128.7572,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
다원1리마을회관,본관,44,경상남도 밀양시 산외면 다원1길 17(다죽리),35.504691,128.812419,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
다원2리 마을회관,본관,64,경상남도 밀양시 산외면 다원2리2길 12(다죽리),35.502235,128.816637,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
무안중학교,체육관,250,경상남도 밀양시 무안면 사명로 617-18(신법리),35.480294,128.654299,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀성초등학교,체육관,288,경상남도 밀양시 석정로 139(내이동),35.502167,128.751206,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양고등학교,강당,291,경상남도 밀양시 약산로 15(내이동),35.493771,128.746789,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양배드민턴경기장,지상1층,968,경상남도 밀양시 시청로 26(교동),35.504499,128.745283,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양시보훈회관,회의실,96,경상남도 밀양시 터미널3길 16(내이동),35.499434,128.742805,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양여자고등학교,체육관,547,경상남도 밀양시 내일중앙길 10(내일동),35.495212,128.755923,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양중학교,체육관,688,경상남도 밀양시 삼문중앙로4길 19(삼문동),35.483568,128.7549,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양지역자활센터,강당,101,경상남도 밀양시 가곡6길 25(가곡동),35.476516,128.766359,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀양초등학교,체육관,600,경상남도 밀양시 중앙로 282-12 (삼문동),35.489009,128.756909,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
밀주초등학교,체육관,427,경상남도 밀양시 가곡13길 24(가곡동),35.476765,128.761958,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
부북초등학교,강당,200,경상남도 밀양시 부북면 운전2길 22 (운전리),35.514503,128.729572,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
사포초등학교,강당,772,경상남도 밀양시 부북면 예림서원로 18-3 (전사포리),35.475054,128.733633,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
산외면행정복지센터,본관,120,경상남도 밀양시 산외면 산외로 427 (다죽리),35.502649,128.81493,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
산외초등학교,강당,469,경상남도 밀양시 산외면 산외로 257 (금천리),35.503691,128.796083,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
삼랑진초등학교,강당,341,경상남도 밀양시 삼랑진읍 송지3길 22-3 (송지리),35.401511,128.84104,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
상동초등학교,체육관,629,경상남도 밀양시 상동면 금산5길 4 (금산리),35.553338,128.76183,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
송포경로당,본관,50,경상남도 밀양시 산내면 송정길 83(송백리),35.581188,128.887231,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
수산초등학교,체육관,270,경상남도 밀양시 하남읍 수산중앙로 59(수산리),35.376112,128.712381,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
예림초등학교,강당,160,경상남도 밀양시 상남면 밀양대로 1524(예림리),35.467627,128.762943,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
오산마을 회관,본관,51,경상남도 밀양시 상남면 오산길 14(외산리),35.370397,128.790349,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
용평2통마을회관,본관,55,경상남도 밀양시 용평로 202-1 (용평동),35.48913,128.772774,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
청도초등학교,강당,177,경상남도 밀양시 청도면 두곡4길 13(두곡리),35.551529,128.624596,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
초동초등학교,강당,368,경상남도 밀양시 초동면 초동로 321(신호리),35.4124,128.692284,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
태룡초등학교,강당,470,경상남도 밀양시 단장면 국전로 15-8(태룡리),35.513921,128.877142,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
활성2통마을회관,본관,25,경상남도 밀양시 활성2길 34(활성동),35.484929,128.805962,2021,화학사고,055-359-5317,경상남도 밀양시 나노경제국 환경관리과,2023-08-09
함양 문화예술회관,함양 문화예술회관,1076,경상남도 함양군 함양읍 필봉산길 55(교산리),35.52471832,127.722268,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
위성초등학교 강당,위성초등학교 강당,543,경상남도 함양군 함양읍 위성초등길 18(교산리),35.5240072,127.7327449,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
마천중학교 강당,마천중학교 강당,203,경상남도 함양군 마천면 도마앞길 69(군자리),35.38711202,127.6592387,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
휴천면사무소,휴천면사무소,161,경상남도 함양군 휴천면 목현옥매로 3(목현리),35.48068086,127.7502708,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
유림면사무소,유림면사무소,186,경상남도 함양군 유림면 천왕봉로 2872-3(화촌리),35.46618502,127.7923411,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
수동초등학교 강당, 수동초등학교 강당,211,경상남도 함양군 수동면 연화산길 18-1(화산리),35.52326068,127.7908668,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
지곡초등학교,지곡초등학교 강당,321,경상남도 함양군 지곡면 개평길 12(개평리),35.56579342,127.7715467,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
안의초등학교,안의초등학교 강당,303,경상남도 함양군 안의면 안의초등길 8(당본리),35.62905686,127.8088898,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
서하초등학교 강당,서하초등학교 강당,340,경상남도 함양군 서하면 육십령로 2117(송계리),35.6492536,127.6982386,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
서상중고등학교 강당,서상중고등학교 강당,300,경상남도 함양군 서상면 서상로 232-1(도천리),35.6766129,127.6891292,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
백전초등학교,백전초등학교 다목적실,62,경상남도 함양군 백전면 구산대안로 12-2(평정리),35.55242954,127.6348624,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
원산마을회관,원산마을회관,21,경상남도 함양군 병곡면 원산길 7(원산리),35.56824577,127.6794826,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
월암마을회관,월암마을회관,20,경상남도 함양군 병곡면 병곡지곡로 79(월암리),35.54433755,127.7079862,2021,화학사고,055-960-6116,경상남도 함양군 경제복지국 환경위생과,2023-08-11
창원체육관,체육관,2008,경상남도 창원시 성산구 원이대로 450(중앙동),35.232778,128.666389,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
안민초등학교,강당,913,경상남도 창원시 성산구 안민로79번길6(안민동),35.187838,128.687781,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
대방초등학교,체육관,1395,경상남도 창원시 성산구 대정로 132(대방동),35.21091,128.706351,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
사파초등학교,체육관,1132,경상남도 창원시 성산구 원이대로773번길27(사파동),35.219526,128.696276,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
신월초등학교,강당,1160,경상남도 창원시 성산구 신월로72번길 12(신월동),35.225328,128.693447,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
용호초등학교,강당,1272,경상남도 창원시 성산구 용지로169번길 76 (용호동),35.234013,128.676352,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
반송초등학교,체육관,2440,경상남도 창원시 성산구 반송로 133(반림동),35.236742,128.670953,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
양곡초등학교,체육관,1202,경상남도 창원시 성산구 양곡길 102(신촌동),35.201267,128.626613,2021,화학사고,055-225-3533,경상남도 창원시 기후환경국 환경정책과,2021-09-30
